"","ym","city","TSP","dustfall","DataCreationDate"
"1","10601","新北市",54,4.72,"2017-01-15"
"2","10601","臺北市",51,3.18,"2017-01-15"
"3","10601","桃園市",54,6.3,"2017-01-15"
"4","10601","臺中市",49,1.26,"2017-01-15"
"5","10601","臺南市",87,6.17,"2017-01-15"
"6","10601","高雄市",98,1.25,"2017-01-15"
"7","10601","宜蘭縣",53,3.54,"2017-01-15"
"8","10601","新竹縣",63,3.55,"2017-01-15"
"9","10601","苗栗縣",0,0,"2017-01-15"
"10","10601","彰化縣",62,3,"2017-01-15"
"11","10601","南投縣",64,2.73,"2017-01-15"
"12","10601","雲林縣",94,5.28,"2017-01-15"
"13","10601","嘉義縣",84,3.96,"2017-01-15"
"14","10601","屏東縣",0,0,"2017-01-15"
"15","10601","臺東縣",51,1.17,"2017-01-15"
"16","10601","花蓮縣",20,4.89,"2017-01-15"
"17","10601","澎湖縣",0,0,"2017-01-15"
"18","10601","基隆市",53,11.18,"2017-01-15"
"19","10601","新竹市",57,2.7,"2017-01-15"
"20","10601","嘉義市",113,4.21,"2017-01-15"
"21","10601","金門縣",80,4.69,"2017-01-15"
"22","10601","連江縣",0,0,"2017-01-15"
"23","10602","新北市",64,7.36,"2017-02-15"
"24","10602","臺北市",59,3.93,"2017-02-15"
"25","10602","桃園市",72,7.43,"2017-02-15"
"26","10602","臺中市",53,1.17,"2017-02-15"
"27","10602","臺南市",85,5.59,"2017-02-15"
"28","10602","高雄市",101,1.76,"2017-02-15"
"29","10602","宜蘭縣",52,10.49,"2017-02-15"
"30","10602","新竹縣",68,4.4,"2017-02-15"
"31","10602","苗栗縣",62,6.65,"2017-02-15"
"32","10602","彰化縣",76,2.19,"2017-02-15"
"33","10602","南投縣",55,2.88,"2017-02-15"
"34","10602","雲林縣",92,1.22,"2017-02-15"
"35","10602","嘉義縣",110,8.74,"2017-02-15"
"36","10602","屏東縣",0,0,"2017-02-15"
"37","10602","臺東縣",35,3.79,"2017-02-15"
"38","10602","花蓮縣",39,6.3,"2017-02-15"
"39","10602","澎湖縣",0,0,"2017-02-15"
"40","10602","基隆市",73,9.52,"2017-02-15"
"41","10602","新竹市",85,1.57,"2017-02-15"
"42","10602","嘉義市",116,5.63,"2017-02-15"
"43","10602","金門縣",53,13.5,"2017-02-15"
"44","10602","連江縣",0,0,"2017-02-15"
"45","10603","新北市",39,6.86,"2017-03-15"
"46","10603","臺北市",61,3.37,"2017-03-15"
"47","10603","桃園市",61,5.54,"2017-03-15"
"48","10603","臺中市",65,1.18,"2017-03-15"
"49","10603","臺南市",67,4.71,"2017-03-15"
"50","10603","高雄市",109,1.86,"2017-03-15"
"51","10603","宜蘭縣",34,2.52,"2017-03-15"
"52","10603","新竹縣",67,5.4,"2017-03-15"
"53","10603","苗栗縣",58,3.06,"2017-03-15"
"54","10603","彰化縣",84,1.64,"2017-03-15"
"55","10603","南投縣",69,4.83,"2017-03-15"
"56","10603","雲林縣",69,0.97,"2017-03-15"
"57","10603","嘉義縣",69,6.04,"2017-03-15"
"58","10603","屏東縣",0,0,"2017-03-15"
"59","10603","臺東縣",29,1.15,"2017-03-15"
"60","10603","花蓮縣",24,6.33,"2017-03-15"
"61","10603","澎湖縣",0,0,"2017-03-15"
"62","10603","基隆市",51,5.74,"2017-03-15"
"63","10603","新竹市",70,2.4,"2017-03-15"
"64","10603","嘉義市",101,5.59,"2017-03-15"
"65","10603","金門縣",95,4,"2017-03-15"
"66","10603","連江縣",0,0,"2017-03-15"
"67","10604","新北市",45,3.51,"2017-04-15"
"68","10604","臺北市",56,4.35,"2017-04-15"
"69","10604","桃園市",93,5.79,"2017-04-15"
"70","10604","臺中市",26,3.09,"2017-04-15"
"71","10604","臺南市",82,1.94,"2017-04-15"
"72","10604","高雄市",32,1.95,"2017-04-15"
"73","10604","宜蘭縣",45,8.35,"2017-04-15"
"74","10604","新竹縣",66,4.53,"2017-04-15"
"75","10604","苗栗縣",38,2.59,"2017-04-15"
"76","10604","彰化縣",56,0.81,"2017-04-15"
"77","10604","南投縣",69,4.85,"2017-04-15"
"78","10604","雲林縣",89,2.48,"2017-04-15"
"79","10604","嘉義縣",88,7.63,"2017-04-15"
"80","10604","屏東縣",0,0,"2017-04-15"
"81","10604","臺東縣",40,2.6,"2017-04-15"
"82","10604","花蓮縣",32,5.77,"2017-04-15"
"83","10604","澎湖縣",37,0,"2017-04-15"
"84","10604","基隆市",62,4.24,"2017-04-15"
"85","10604","新竹市",93,0,"2017-04-15"
"86","10604","嘉義市",56,6.4,"2017-04-15"
"87","10604","金門縣",41,6.05,"2017-04-15"
"88","10604","連江縣",0,0,"2017-04-15"
"89","10605","新北市",45,4.26,"2017-05-15"
"90","10605","臺北市",48,3.29,"2017-05-15"
"91","10605","桃園市",65,2.89,"2017-05-15"
"92","10605","臺中市",46,1.18,"2017-05-15"
"93","10605","臺南市",40,0,"2017-05-15"
"94","10605","高雄市",63,1.96,"2017-05-15"
"95","10605","宜蘭縣",43,4.21,"2017-05-15"
"96","10605","新竹縣",65,7.3,"2017-05-15"
"97","10605","苗栗縣",58,4.15,"2017-05-15"
"98","10605","彰化縣",72,1.04,"2017-05-15"
"99","10605","南投縣",48,4.62,"2017-05-15"
"100","10605","雲林縣",39,0.99,"2017-05-15"
"101","10605","嘉義縣",37,5.97,"2017-05-15"
"102","10605","屏東縣",0,0,"2017-05-15"
"103","10605","臺東縣",34,1.7,"2017-05-15"
"104","10605","花蓮縣",29,4.53,"2017-05-15"
"105","10605","澎湖縣",70,7.8,"2017-05-15"
"106","10605","基隆市",49,2.42,"2017-05-15"
"107","10605","新竹市",52,1.5,"2017-05-15"
"108","10605","嘉義市",57,7.36,"2017-05-15"
"109","10605","金門縣",49,6.17,"2017-05-15"
"110","10605","連江縣",0,0,"2017-05-15"
"111","10606","新北市",38,4.91,"2017-06-15"
"112","10606","臺北市",45,2.21,"2017-06-15"
"113","10606","桃園市",51,1.99,"2017-06-15"
"114","10606","臺中市",45,1.55,"2017-06-15"
"115","10606","臺南市",30,1.29,"2017-06-15"
"116","10606","高雄市",33,3.95,"2017-06-15"
"117","10606","宜蘭縣",50,3.36,"2017-06-15"
"118","10606","新竹縣",31,3.7,"2017-06-15"
"119","10606","苗栗縣",30,0.73,"2017-06-15"
"120","10606","彰化縣",38,0.65,"2017-06-15"
"121","10606","南投縣",30,1.12,"2017-06-15"
"122","10606","雲林縣",30,0.28,"2017-06-15"
"123","10606","嘉義縣",36,2.24,"2017-06-15"
"124","10606","屏東縣",0,0,"2017-06-15"
"125","10606","臺東縣",25,2.8,"2017-06-15"
"126","10606","花蓮縣",36,0.87,"2017-06-15"
"127","10606","澎湖縣",44,6.5,"2017-06-15"
"128","10606","基隆市",46,1.14,"2017-06-15"
"129","10606","新竹市",7,1.4,"2017-06-15"
"130","10606","嘉義市",32,5.96,"2017-06-15"
"131","10606","金門縣",12,5.97,"2017-06-15"
"132","10606","連江縣",0,0,"2017-06-15"
"133","10607","新北市",31,5.81,"2017-07-15"
"134","10607","臺北市",45,2.48,"2017-07-15"
"135","10607","桃園市",50,0.96,"2017-07-15"
"136","10607","臺中市",38,2.31,"2017-07-15"
"137","10607","臺南市",34,2.4,"2017-07-15"
"138","10607","高雄市",42,2.67,"2017-07-15"
"139","10607","宜蘭縣",49,0,"2017-07-15"
"140","10607","新竹縣",33,3.6,"2017-07-15"
"141","10607","苗栗縣",27,8.15,"2017-07-15"
"142","10607","彰化縣",27,0.45,"2017-07-15"
